AI GOVERNANCE ACADEMY - STUDENT CREDENTIALS
============================================================
Common Password: AIGA@2024!Secure#Learning
============================================================
Format: Email | Full Name | Location
student069@aiga.ac | Edward Morris | Existing
student070@aiga.ac | Jack Tennyson | Existing
student071@aiga.ac | Cordelia Reid | Existing
student072@aiga.ac | Edwin Johnson | Existing
student073@aiga.ac | Felix Wells | Existing
student074@aiga.ac | Katherine Wright | Existing
student075@aiga.ac | Oliver Lamont | Existing
student076@aiga.ac | Delilah Hill | Existing
student077@aiga.ac | Vera Chandler | Existing
student078@aiga.ac | Wilfred Blake | Existing
student079@aiga.ac | Sandra Fletcher | Existing
student080@aiga.ac | Sheila Milton | Existing
student081@aiga.ac | Sandra Byrne | Existing
student082@aiga.ac | Olivia Beckett | Existing
student083@aiga.ac | Jacob Bailey | Existing
student084@aiga.ac | Martin Foster | Existing
student085@aiga.ac | Linda Ellis | Existing
student086@aiga.ac | Piers Glover | Existing
student087@aiga.ac | Edmund Hamilton | Existing
student088@aiga.ac | Thomas Marshall | Existing
student089@aiga.ac | Elijah Gates | Existing
student090@aiga.ac | Trevor Chamberlain | Existing
student091@aiga.ac | Alice Hunter | Existing
student092@aiga.ac | Martin Butler | Existing
student093@aiga.ac | Evie Chapman | Existing
student094@aiga.ac | Barnaby Field | Existing
student095@aiga.ac | Willow Day | Existing
student096@aiga.ac | Fraser Morris | Existing
student097@aiga.ac | Margaret Keats | Existing
student098@aiga.ac | Lorna Goodwin | Existing
student099@aiga.ac | Graham Disraeli | Existing
student100@aiga.ac | Kathleen Fletcher | Existing
student101@aiga.ac | Diana Graham | Existing
student102@aiga.ac | Esme Richardson | Existing
student103@aiga.ac | Geraldine Harrington | Existing
student104@aiga.ac | Dorothy Murray | Existing
student105@aiga.ac | Ralph Howard | Existing
student106@aiga.ac | Hamish Brown | Existing
student107@aiga.ac | Patricia Goodwin | Existing
student108@aiga.ac | Alice Austen | Existing
student109@aiga.ac | Charlotte Baker | Existing
student110@aiga.ac | Max Baker | Existing
student111@aiga.ac | Ruby Harrington | Existing
student112@aiga.ac | Willow James | Existing
student113@aiga.ac | Gillian Wilde | Existing
student114@aiga.ac | William Wordsworth | Existing
student115@aiga.ac | Colin Balfour | Existing
student116@aiga.ac | Brenda Gardner | Existing
student117@aiga.ac | Katherine Gordon | Existing
student118@aiga.ac | Katherine Burton | Existing
student119@aiga.ac | Martin Hale | Existing
student120@aiga.ac | Nora Milton | Existing
student121@aiga.ac | Keith Mitchell | Existing
student122@aiga.ac | Alfie Davis | Existing
student123@aiga.ac | Beatrice Dodd | Existing
student124@aiga.ac | Oscar Austen | Existing
student125@aiga.ac | Amelia Lamont | Existing
student126@aiga.ac | Edmund Knight | Existing
student127@aiga.ac | Clifford Cox | Existing
student128@aiga.ac | Logan Moore | Existing
student129@aiga.ac | Henrietta Burgess | Existing
student130@aiga.ac | Amelia Gough | Existing
student131@aiga.ac | Benjamin Cameron | Existing
student132@aiga.ac | Malcolm Graham | Existing
student133@aiga.ac | Patricia Dickens | Existing
student134@aiga.ac | Cameron King | Existing
student135@aiga.ac | Eleanor Munro | Existing
student136@aiga.ac | Patricia Graves | Existing
student137@aiga.ac | Ian Milton | Existing
student138@aiga.ac | Tabitha Murphy | Existing
student139@aiga.ac | Isaac Robinson | Existing
student140@aiga.ac | Joshua Griffiths | Existing
student141@aiga.ac | Edmund Watson | Existing
student142@aiga.ac | Jenson Brooks | Existing
student143@aiga.ac | Eleanor Bennett | Existing
student144@aiga.ac | Sidney Briggs | Existing
student145@aiga.ac | Victoria Haynes | Existing
student146@aiga.ac | Colin Dean | Existing
student147@aiga.ac | James Wordsworth | Existing
student148@aiga.ac | Joan Gregory | Existing
student149@aiga.ac | Agatha Burns | Existing
student150@aiga.ac | Alfie Dale | Existing
student151@aiga.ac | Alice Harrison | Existing
student152@aiga.ac | Arabella Sinclair | Existing
student153@aiga.ac | Sandra Duffy | Existing
student154@aiga.ac | Karen Keats | Existing
student155@aiga.ac | Felicity Mason | Existing
student156@aiga.ac | Derek Bennett | Existing
student157@aiga.ac | Joan Wright | Existing
student158@aiga.ac | Isla Cromwell | Existing
student159@aiga.ac | Oscar Yeats | Existing
student160@aiga.ac | Humphrey Gill | Existing
student161@aiga.ac | Margot Hayes | Existing
student162@aiga.ac | Geraldine Beckett | Existing
student163@aiga.ac | Leonard Haynes | Existing
student164@aiga.ac | Laurence Dale | Existing
student165@aiga.ac | Ralph Hardy | Existing
student166@aiga.ac | Wendy Connor | Existing
student167@aiga.ac | Janet Gray | Existing
student168@aiga.ac | Leonard Wood | Existing
student169@aiga.ac | Lorna Ellison | Existing
student170@aiga.ac | Kathleen Frost | Existing
student171@aiga.ac | Olive Dixon | Existing
student172@aiga.ac | Tracey Dawson | Existing
student173@aiga.ac | Queenie Griffiths | Existing
student174@aiga.ac | Geoffrey Gladstone | Existing
student175@aiga.ac | Mia Garner | Existing
student176@aiga.ac | Teddy Sharp | Existing
student177@aiga.ac | Felix Collins | Existing
student178@aiga.ac | Eileen Cook | Existing
student179@aiga.ac | Leonard Hughes | Existing
student180@aiga.ac | Ewan Sutherland | Existing
student181@aiga.ac | Isla Hayes | Existing
student182@aiga.ac | Cynthia Graham | Existing
student183@aiga.ac | Lily Franklin | Existing
student184@aiga.ac | Ethan Bond | Existing
student185@aiga.ac | Raymond Collins | Existing
student186@aiga.ac | Dorothy Bond | Existing
student187@aiga.ac | Philippa Connor | Existing
student188@aiga.ac | Tabitha Cooper | Existing
student189@aiga.ac | Walter Eden | Existing
student190@aiga.ac | Philippa Hammond | Existing
student191@aiga.ac | Gillian Phillips | Existing
student192@aiga.ac | Reginald Richardson | Existing
student193@aiga.ac | Benjamin Grant | Existing
student194@aiga.ac | Herbert Harrison | Existing
student195@aiga.ac | Kenneth Cook | Existing
student196@aiga.ac | Rosie Cross | Existing
student197@aiga.ac | Norman Brooks | Existing
student198@aiga.ac | Grace Bronte | Existing
student199@aiga.ac | Norman Burton | Existing
student200@aiga.ac | Jemima Burgess | Existing
student201@aiga.ac | Florence Stewart | Existing
student202@aiga.ac | Rupert Forrest | Existing
student203@aiga.ac | Emily Duncan | Existing
student204@aiga.ac | Clifford Ellis | Existing
student205@aiga.ac | Janet Mason | Existing
student206@aiga.ac | Edmund Carr | Existing
student207@aiga.ac | Benjamin Stewart | Existing
student208@aiga.ac | Esme Brooks | Existing
student209@aiga.ac | Tabitha Smith | Existing
student210@aiga.ac | Trevor Gibson | Existing
student211@aiga.ac | Bernard Gordon | Existing
student212@aiga.ac | Tilly Hardy | Existing
student213@aiga.ac | Gillian Forrest | Existing
student214@aiga.ac | Cameron Chisholm | Existing
student215@aiga.ac | Daisy Khan | Existing
student216@aiga.ac | Noah Wallace | Existing
student217@aiga.ac | Ralph Harrington | Existing
student218@aiga.ac | Norman Moore | Existing
student219@aiga.ac | Tilly Chapman | Existing
student220@aiga.ac | Herbert Jones | Existing
student221@aiga.ac | James Ellison | Existing
student222@aiga.ac | Arabella Webb | Existing
student223@aiga.ac | Harry Burns | Existing
student224@aiga.ac | Wendy Kerr | Existing
student225@aiga.ac | Duncan Thatcher | Existing
student226@aiga.ac | Geraldine Hardy | Existing
student227@aiga.ac | Jenson Price | Existing
student228@aiga.ac | Isabella Harding | Existing
student229@aiga.ac | Noah Douglas | Existing
student230@aiga.ac | Humphrey Martin | Existing
student231@aiga.ac | Jenson Atkinson | Existing
student232@aiga.ac | Brenda Bradley | Existing
student233@aiga.ac | Fergus Dunn | Existing
student234@aiga.ac | Leonard Cameron | Existing
student235@aiga.ac | Neville Allen | Existing
student236@aiga.ac | Ernest Hammond | Existing
student237@aiga.ac | Sophie Hunter | Existing
student238@aiga.ac | Linda Thompson | Existing
student239@aiga.ac | Tracey Barker | Existing
student240@aiga.ac | Sebastian Gale | Existing
student241@aiga.ac | Theo Day | Existing
student242@aiga.ac | Herbert Taylor | Existing
student243@aiga.ac | Keith Hale | Existing
student244@aiga.ac | Angus Simpson | Existing
student245@aiga.ac | Elsie Disraeli | Existing
student246@aiga.ac | Alfie Francis | Existing
student247@aiga.ac | Victor Bond | Existing
student248@aiga.ac | Pamela Jackson | Existing
student249@aiga.ac | Arthur Carpenter | Existing
student250@aiga.ac | Leo Hill | Existing
student251@aiga.ac | Georgina Lee | Existing
student252@aiga.ac | Ella Ellis | Existing
student253@aiga.ac | Alfie Bradley | Existing
student254@aiga.ac | Gavin Collins | Existing
student255@aiga.ac | Rita Marshall | Existing
student256@aiga.ac | Teddy Bennett | Existing
student257@aiga.ac | Terry Gill | Existing
student258@aiga.ac | Charlotte Duncan | Existing
student259@aiga.ac | Joan Gale | Existing
student260@aiga.ac | Edward Garner | Existing
student261@aiga.ac | Emily Hawkins | Existing
student262@aiga.ac | Queenie Giles | Existing
student263@aiga.ac | Isaac Chamberlain | Existing
student264@aiga.ac | Rebecca Stewart | Existing
student265@aiga.ac | Hugo Eaton | Existing
student266@aiga.ac | Joshua French | Existing
student267@aiga.ac | Geraldine Murphy | Existing
student268@aiga.ac | Victor Blake | Existing
student269@aiga.ac | Grace Butler | Existing
student270@aiga.ac | Cyril Williams | Existing
student271@aiga.ac | Barnaby Hardy | Existing
student272@aiga.ac | Joseph Wordsworth | Existing
student273@aiga.ac | Geoffrey Sharp | Existing
student274@aiga.ac | Linda Harper | Existing
student275@aiga.ac | Penelope Duffy | Existing
student276@aiga.ac | Alice Hawkins | Existing
student277@aiga.ac | Victoria Yeats | Existing
student278@aiga.ac | Hugo Thatcher | Existing
student279@aiga.ac | Colin Cole | Existing
student280@aiga.ac | Muhammad Gregory | Existing
student281@aiga.ac | Geoffrey Barnes | Existing
student282@aiga.ac | Esme Field | Existing
student283@aiga.ac | Queenie Clark | Existing
student284@aiga.ac | Hazel Chamberlain | Existing
student285@aiga.ac | David Shaw | Existing
student286@aiga.ac | Oliver Goodwin | Existing
student287@aiga.ac | Audrey Kelly | Existing
student288@aiga.ac | Wendy Joyce | Existing
student289@aiga.ac | Vera MacDonald | Existing
student290@aiga.ac | Nora MacDonald | Existing
student291@aiga.ac | Mabel Munro | Existing
student292@aiga.ac | Fiona Barclay | Existing
student293@aiga.ac | Rita Curtis | Existing
student294@aiga.ac | Thomas Graham | Existing
student295@aiga.ac | Herbert Gardner | Existing
student296@aiga.ac | Rupert Frost | Existing
student297@aiga.ac | Alistair Atkinson | Existing
student298@aiga.ac | Jude Baxter | Existing
student299@aiga.ac | Edwin Marshall | Existing
student300@aiga.ac | Daisy Bell | Existing
student301@aiga.ac | Barry Swift | Existing
student302@aiga.ac | Reuben Balfour | Existing
student303@aiga.ac | Harrison Patel | Existing
student304@aiga.ac | Gillian Dalton | Existing
student305@aiga.ac | Georgina Flynn | Existing
student306@aiga.ac | Ian Gardner | Existing
student307@aiga.ac | Rita Fox | Existing
student308@aiga.ac | Kenneth Baxter | Existing
student309@aiga.ac | Simon Hill | Existing
student310@aiga.ac | Archie Lee | Existing
student311@aiga.ac | Archie MacDonald | Existing
student312@aiga.ac | Karen Dodd | Existing
student313@aiga.ac | Finley Gale | Existing
student314@aiga.ac | Gavin Munro | Existing
student315@aiga.ac | Linda Cox | Existing
student316@aiga.ac | Matilda Clarke | Existing
student317@aiga.ac | Daniel Grant | Existing
student318@aiga.ac | Harriet Martin | Existing
student319@aiga.ac | Montgomery Hunter | Existing
student320@aiga.ac | Sandra Munro | Existing
student321@aiga.ac | Stanley Wilde | Existing
student322@aiga.ac | Felicity Allen | Existing
student323@aiga.ac | Percival Byrne | Existing
student324@aiga.ac | Victoria Bailey | Existing
student325@aiga.ac | Ernest Cook | Existing
student326@aiga.ac | Victor Burns | Existing
student327@aiga.ac | Harry Bradley | Existing
student328@aiga.ac | Nicola Giles | Existing
student329@aiga.ac | Sienna Hawkins | Existing
student330@aiga.ac | Leo Frost | Existing
student331@aiga.ac | Bernard Eliot | Existing
student332@aiga.ac | Joshua Bentley | Existing
student333@aiga.ac | Imogen Hall | Existing
student334@aiga.ac | Sheila Gardner | Existing
student335@aiga.ac | Cynthia Phillips | Existing
student336@aiga.ac | Humphrey Campbell | Existing
student337@aiga.ac | Charlotte Goodman | Existing
student338@aiga.ac | Victor Chisholm | Existing
student339@aiga.ac | Harrison Frost | Existing
student340@aiga.ac | Chiamaka Obi | Existing
student341@aiga.ac | Aisha Mohammed | Existing
student342@aiga.ac | Tunde Adeyemi | Existing
student343@aiga.ac | Chidinma Eze | Existing
student344@aiga.ac | Folake Adebisi | Existing
student345@aiga.ac | Chika Nwosu | Existing
student346@aiga.ac | Adeyemi Okafor | Existing
student347@aiga.ac | Aisha Mohammed | Existing
student348@aiga.ac | Chika Nwosu | Existing
student349@aiga.ac | Ibrahim Suleiman | Existing
student350@aiga.ac | Ibrahim Suleiman | Existing
student351@aiga.ac | Mikhail Sokolov | Existing
student352@aiga.ac | Sakura Yamamoto | Existing
student353@aiga.ac | Dimitri Papadopoulos | Existing
student354@aiga.ac | Emma Janssen | Existing
student355@aiga.ac | Greta Fischer | Existing
student356@aiga.ac | Maria Costa | Existing
student357@aiga.ac | Marco Rossi | Existing
student358@aiga.ac | Pavel Novak | Existing
student359@aiga.ac | Emma Janssen | Existing
student360@aiga.ac | Li Wang | Existing
student361@aiga.ac | Omar Khan | Existing
student362@aiga.ac | Andre Moreau | Existing
student363@aiga.ac | Leila Haddad | Existing
student364@aiga.ac | Marco Rossi | Existing
student365@aiga.ac | Ananya Sharma | Existing
student366@aiga.ac | Lukas Muller | Existing
student367@aiga.ac | Natasha Romanova | Existing
student368@aiga.ac | Lucia Fernandez | Existing
student369@aiga.ac | Jana Svobodova | Existing
student370@aiga.ac | Siobhan Murphy | Existing
student371@aiga.ac | Hans Weber | Existing
student372@aiga.ac | Claire Fontaine | Existing
student373@aiga.ac | Anastasia Volkova | Existing
student374@aiga.ac | Katarzyna Wojcik | Existing
student375@aiga.ac | Giulia Bianchi | Existing
student376@aiga.ac | Greta Fischer | Existing
student377@aiga.ac | Piotr Wisniewski | Existing
